text,label
Free entry in a weekly competition to win $1000 cash! Text WIN to 9695612556.,spam
Don't forget to buy milk on your way home.,ham
WINNER! You have won a $500 prize! Call 9742691501 to claim now.,spam
WINNER! You have won a $500 prize! Call 9827267566 to claim now.,spam
Don't forget to buy milk on your way home.,ham
Congratulations! You are selected for a free gift card worth $1000.,spam
Free entry in a weekly competition to win $1000 cash! Text WIN to 9701572110.,spam
Congratulations! You are selected for a free gift card worth $1000.,spam
URGENT! Your account has been credited with $500. Click link to withdraw.,spam
Free entry in a weekly competition to win $500 cash! Text WIN to 9027678566.,spam
Congratulations! You are selected for a free gift card worth $1000.,spam
Congratulations! You are selected for a free gift card worth $1000.,spam
Don't forget to buy milk on your way home.,ham
URGENT! Your account has been credited with $100. Click link to withdraw.,spam
"I'll call you back in 5 PM minutes, busy right now.",ham
"I'll call you back in 10 minutes, busy right now.",ham
Congratulations! You are selected for a free gift card worth $100.,spam
Don't forget to buy milk on your way home.,ham
Congratulations! You are selected for a free gift card worth $500.,spam
Free entry in a weekly competition to win $100 cash! Text WIN to 9356712320.,spam
Can you send me the project report by evening?,ham
WINNER! You have won a $1000 prize! Call 9720723943 to claim now.,spam
Congratulations! You are selected for a free gift card worth $100.,spam
WINNER! You have won a $1000 prize! Call 9541561781 to claim now.,spam
"I'll call you back in 5 PM minutes, busy right now.",ham
URGENT! Your account has been credited with $1000. Click link to withdraw.,spam
WINNER! You have won a $1000 prize! Call 9436551320 to claim now.,spam
Don't forget to buy milk on your way home.,ham
"I'll call you back in evening minutes, busy right now.",ham
Can you send me the project report by 5 PM?,ham
URGENT! Your account has been credited with $100. Click link to withdraw.,spam
Free entry in a weekly competition to win $100 cash! Text WIN to 9609426210.,spam
URGENT! Your account has been credited with $1000. Click link to withdraw.,spam
Congratulations! You are selected for a free gift card worth $500.,spam
"I'll call you back in 5 PM minutes, busy right now.",ham
Don't forget to buy milk on your way home.,ham
Free entry in a weekly competition to win $500 cash! Text WIN to 9160577806.,spam
Don't forget to buy milk on your way home.,ham
Free entry in a weekly competition to win $1000 cash! Text WIN to 9952076420.,spam
Free entry in a weekly competition to win $100 cash! Text WIN to 9175730170.,spam
Congratulations! You are selected for a free gift card worth $500.,spam
Free entry in a weekly competition to win $100 cash! Text WIN to 9141184300.,spam
URGENT! Your account has been credited with $500. Click link to withdraw.,spam
"Hey, are we still meeting today at 5 PM?",ham
WINNER! You have won a $500 prize! Call 9767504232 to claim now.,spam
Can you send me the project report by 10?,ham
"I'll call you back in evening minutes, busy right now.",ham
Free entry in a weekly competition to win $500 cash! Text WIN to 9779828636.,spam
Don't forget to buy milk on your way home.,ham
Don't forget to buy milk on your way home.,ham
Don't forget to buy milk on your way home.,ham
"Hey, are we still meeting today at 10?",ham
Don't forget to buy milk on your way home.,ham
"Hey, are we still meeting today at evening?",ham
"I'll call you back in evening minutes, busy right now.",ham
"I'll call you back in 5 PM minutes, busy right now.",ham
Can you send me the project report by evening?,ham
WINNER! You have won a $500 prize! Call 9449336883 to claim now.,spam
URGENT! Your account has been credited with $100. Click link to withdraw.,spam
Congratulations! You are selected for a free gift card worth $1000.,spam
"Hey, are we still meeting today at tomorrow?",ham
URGENT! Your account has been credited with $500. Click link to withdraw.,spam
Free entry in a weekly competition to win $500 cash! Text WIN to 9717849622.,spam
WINNER! You have won a $1000 prize! Call 9743664222 to claim now.,spam
Can you send me the project report by 10?,ham
"I'll call you back in evening minutes, busy right now.",ham
WINNER! You have won a $100 prize! Call 9814016067 to claim now.,spam
Free entry in a weekly competition to win $100 cash! Text WIN to 9048878800.,spam
"I'll call you back in 5 PM minutes, busy right now.",ham
Congratulations! You are selected for a free gift card worth $100.,spam
Can you send me the project report by 10?,ham
Free entry in a weekly competition to win $1000 cash! Text WIN to 9306741360.,spam
Can you send me the project report by 5 PM?,ham
"Hey, are we still meeting today at tomorrow?",ham
Can you send me the project report by 5 PM?,ham
"Hey, are we still meeting today at 10?",ham
URGENT! Your account has been credited with $100. Click link to withdraw.,spam
"Hey, are we still meeting today at tomorrow?",ham
"Hey, are we still meeting today at 5 PM?",ham
Can you send me the project report by 5 PM?,ham
"I'll call you back in tomorrow minutes, busy right now.",ham
Don't forget to buy milk on your way home.,ham
Congratulations! You are selected for a free gift card worth $100.,spam
URGENT! Your account has been credited with $100. Click link to withdraw.,spam
"Hey, are we still meeting today at evening?",ham
Free entry in a weekly competition to win $1000 cash! Text WIN to 9018547896.,spam
Free entry in a weekly competition to win $500 cash! Text WIN to 9914722962.,spam
Congratulations! You are selected for a free gift card worth $500.,spam
WINNER! You have won a $500 prize! Call 9167754969 to claim now.,spam
Can you send me the project report by evening?,ham
Don't forget to buy milk on your way home.,ham
Don't forget to buy milk on your way home.,ham
Don't forget to buy milk on your way home.,ham
Congratulations! You are selected for a free gift card worth $100.,spam
Can you send me the project report by 5 PM?,ham
Can you send me the project report by 5 PM?,ham
Free entry in a weekly competition to win $100 cash! Text WIN to 9771916364.,spam
URGENT! Your account has been credited with $100. Click link to withdraw.,spam
URGENT! Your account has been credited with $1000. Click link to withdraw.,spam
WINNER! You have won a $500 prize! Call 9337009398 to claim now.,spam
"Hey, are we still meeting today at 5 PM?",ham
Congratulations! You are selected for a free gift card worth $100.,spam
Free entry in a weekly competition to win $500 cash! Text WIN to 9776342760.,spam
Can you send me the project report by 5 PM?,ham
URGENT! Your account has been credited with $1000. Click link to withdraw.,spam
Don't forget to buy milk on your way home.,ham
Congratulations! You are selected for a free gift card worth $1000.,spam
"I'll call you back in 5 PM minutes, busy right now.",ham
WINNER! You have won a $500 prize! Call 9000082912 to claim now.,spam
Can you send me the project report by 5 PM?,ham
Don't forget to buy milk on your way home.,ham
Free entry in a weekly competition to win $500 cash! Text WIN to 9223138965.,spam
Can you send me the project report by tomorrow?,ham
URGENT! Your account has been credited with $500. Click link to withdraw.,spam
URGENT! Your account has been credited with $1000. Click link to withdraw.,spam
"Hey, are we still meeting today at evening?",ham
Don't forget to buy milk on your way home.,ham
"Hey, are we still meeting today at 5 PM?",ham
Can you send me the project report by 5 PM?,ham
WINNER! You have won a $1000 prize! Call 9450702055 to claim now.,spam
URGENT! Your account has been credited with $1000. Click link to withdraw.,spam
Don't forget to buy milk on your way home.,ham
Congratulations! You are selected for a free gift card worth $500.,spam
WINNER! You have won a $100 prize! Call 9923929701 to claim now.,spam
Can you send me the project report by 10?,ham
Congratulations! You are selected for a free gift card worth $500.,spam
WINNER! You have won a $500 prize! Call 9078172240 to claim now.,spam
"I'll call you back in evening minutes, busy right now.",ham
WINNER! You have won a $500 prize! Call 9860801153 to claim now.,spam
Don't forget to buy milk on your way home.,ham
URGENT! Your account has been credited with $100. Click link to withdraw.,spam
Free entry in a weekly competition to win $1000 cash! Text WIN to 9377971690.,spam
URGENT! Your account has been credited with $500. Click link to withdraw.,spam
Can you send me the project report by 10?,ham
WINNER! You have won a $500 prize! Call 9103292723 to claim now.,spam
"I'll call you back in 5 PM minutes, busy right now.",ham
Free entry in a weekly competition to win $100 cash! Text WIN to 9257227091.,spam
Can you send me the project report by evening?,ham
Can you send me the project report by 5 PM?,ham
Free entry in a weekly competition to win $500 cash! Text WIN to 9204802702.,spam
"I'll call you back in 5 PM minutes, busy right now.",ham
URGENT! Your account has been credited with $1000. Click link to withdraw.,spam
Can you send me the project report by evening?,ham
Don't forget to buy milk on your way home.,ham
Congratulations! You are selected for a free gift card worth $500.,spam
Free entry in a weekly competition to win $100 cash! Text WIN to 9028827009.,spam
Can you send me the project report by evening?,ham
Don't forget to buy milk on your way home.,ham
Can you send me the project report by 5 PM?,ham
Free entry in a weekly competition to win $100 cash! Text WIN to 9010317579.,spam
"I'll call you back in 5 PM minutes, busy right now.",ham
Don't forget to buy milk on your way home.,ham
Congratulations! You are selected for a free gift card worth $100.,spam
Can you send me the project report by 10?,ham
Don't forget to buy milk on your way home.,ham
WINNER! You have won a $100 prize! Call 9239816236 to claim now.,spam
Free entry in a weekly competition to win $1000 cash! Text WIN to 9614575639.,spam
Congratulations! You are selected for a free gift card worth $100.,spam
WINNER! You have won a $500 prize! Call 9317351864 to claim now.,spam
Congratulations! You are selected for a free gift card worth $500.,spam
Don't forget to buy milk on your way home.,ham
WINNER! You have won a $100 prize! Call 9949380529 to claim now.,spam
URGENT! Your account has been credited with $500. Click link to withdraw.,spam
"Hey, are we still meeting today at 10?",ham
Can you send me the project report by evening?,ham
"Hey, are we still meeting today at evening?",ham
Free entry in a weekly competition to win $100 cash! Text WIN to 9158408230.,spam
Congratulations! You are selected for a free gift card worth $1000.,spam
"I'll call you back in 5 PM minutes, busy right now.",ham
URGENT! Your account has been credited with $1000. Click link to withdraw.,spam
Congratulations! You are selected for a free gift card worth $1000.,spam
"Hey, are we still meeting today at 10?",ham
WINNER! You have won a $1000 prize! Call 9898345605 to claim now.,spam
Don't forget to buy milk on your way home.,ham
Congratulations! You are selected for a free gift card worth $1000.,spam
Congratulations! You are selected for a free gift card worth $500.,spam
Free entry in a weekly competition to win $100 cash! Text WIN to 9140741387.,spam
"I'll call you back in 5 PM minutes, busy right now.",ham
"I'll call you back in 5 PM minutes, busy right now.",ham
Free entry in a weekly competition to win $100 cash! Text WIN to 9832276423.,spam
"I'll call you back in 10 minutes, busy right now.",ham
Don't forget to buy milk on your way home.,ham
Free entry in a weekly competition to win $500 cash! Text WIN to 9204179731.,spam
Free entry in a weekly competition to win $100 cash! Text WIN to 9927282852.,spam
"I'll call you back in 10 minutes, busy right now.",ham
URGENT! Your account has been credited with $1000. Click link to withdraw.,spam
Congratulations! You are selected for a free gift card worth $500.,spam
"I'll call you back in 10 minutes, busy right now.",ham
URGENT! Your account has been credited with $100. Click link to withdraw.,spam
"I'll call you back in 10 minutes, busy right now.",ham
WINNER! You have won a $500 prize! Call 9920154332 to claim now.,spam
Can you send me the project report by 10?,ham
Can you send me the project report by evening?,ham
WINNER! You have won a $1000 prize! Call 9341118302 to claim now.,spam
WINNER! You have won a $1000 prize! Call 9243892438 to claim now.,spam
Don't forget to buy milk on your way home.,ham
"Hey, are we still meeting today at evening?",ham
Free entry in a weekly competition to win $1000 cash! Text WIN to 9209071131.,spam
"Hey, are we still meeting today at 5 PM?",ham
"Hey, are we still meeting today at 5 PM?",ham
WINNER! You have won a $1000 prize! Call 9490354887 to claim now.,spam
Can you send me the project report by 5 PM?,ham
Can you send me the project report by 5 PM?,ham
Don't forget to buy milk on your way home.,ham
Don't forget to buy milk on your way home.,ham
Can you send me the project report by 10?,ham
URGENT! Your account has been credited with $1000. Click link to withdraw.,spam
